,0mlBoXZHSLmWELx913rR9g,3tv6xAvjSiOBvn6Pi8LkGw,djaAx8sEQReRzImtd2sA3w,dvFjgBzQSu2S8De95BYqmg,ECvuummcQA-4GskntiAHtQ,JHRdQdJWQrmH65m7odosVw,mRY84FM1R7WFu8jDymW3eA,nPKbqr0XR0Kn8Jz8nj35Kw,ONG8kdYrQGqUP17PgZZFmA,SS_M7DvJTvKxIcNAt6rB5Q,UXtdCOPLTDaONmM-mk4e1A,VrVBdpn5QWOhPYOMZYjqBQ,W1_cjyfLSEqpecix7LdImQ,Wma7L57WQgGc-9ivrhoG4A,X89zKFz4QC-M5jwo1iLI4g,sum
PlusOnlyTab-StreakResult,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PushHistory-CollectionQuiz,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PushHistory-HomeTab,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
PushHistory-PathTab,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
PushHistory-Player,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
PushHistory-Splash,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PushHistory-StreakResult,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
PushHistory-null,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
QBAlbumsViewController-QBAssetsViewController,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
QBAssetsViewController-TOCropViewController,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
QBImagePickerController-QBAlbumsViewController,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
RCTAlertController-UIViewController,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
RCTModalHostViewController-Coupon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
RCTModalHostViewController-HomeTab,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
RCTModalHostViewController-RCTAlertController,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
RCTModalHostViewController-SFAuthenticationViewController,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
RCTModalHostViewController-Splash,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
RCTModalHostViewController-UIViewController,0.0,27.0,37.0,0.0,5.0,24.0,5.0,4.0,2.0,10.0,6.0,7.0,14.0,2.0,0.0,143.0
