,,std_ymd,event_date,auth_id,user_pseudo_id,event_name,is_anonymous,learn_lang,learn_lang_cnt,lang_code,app_version,platform,platform_version,device_category,continent,country,event_timestamp,event_timestamp_w_timezone,,week_cd,screen_class,previous_screen_class,errors: 0,use_time_msec,,purchase_type,product,create_date
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,path_tab_visit,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022540909000 ,1695054940909000 ,0,96,CollectionQuiz,null,2023-09-18 16:35:40.909,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022542939000 ,1695054942939000 ,0,96,PathTab,CollectionQuiz,2023-09-18 16:35:42.939,4048,4.048,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,path_tab_visit,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022542940000 ,1695054942940000 ,0,96,PathTab,null,2023-09-18 16:35:42.940,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,path_tab_step_click,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022546566000 ,1695054946566000 ,0,96,PathTab,null,2023-09-18 16:35:46.566,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022546988000 ,1695054946988000 ,0,96,PathTabPlayer,PathTab,2023-09-18 16:35:46.988,10959,10.959,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022557947000 ,1695054957947000 ,0,96,PathTab,PathTabPlayer,2023-09-18 16:35:57.947,4116,4.116,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022562062000 ,1695054962062000 ,0,96,ReviewTab,PathTab,2023-09-18 16:36:02.062,7123,7.123,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022569186000 ,1695054969186000 ,0,96,HomeTab,ReviewTab,2023-09-18 16:36:09.186,17789,17.789,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022586974010 ,1695054986974010 ,10,96,CollectionQuiz,HomeTab,2023-09-18 16:36:26.974,33161,33.161,null,null,2023-10-01
#REF!,#REF!,2023-09-18,20230918,0mlBoXZHSLmWELx913rR9g,bc782ca4757de2ed144336933e2bb893,screen_view,0,ko,1,ko,5.5.3,ANDROID,Android 11,mobile,Asia,South Korea,1695022620135000 ,1695055020135000 ,0,96,HomeTab,CollectionQuiz,2023-09-18 16:37:00.135,1350,1.35,null,null,2023-10-01
