std_ymd,event_date,auth_id,event_name,is_anonymous,learn_lang,learn_lang_cnt,lang_code,app_version,platform,platform_version,device_category,continent,country,event_timestamp,event_timestamp_w_timezone,week_cd,screen_class,previous_screen_class,use_time_msec,purchase_type,product,create_date
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PushHistory,StreakResult,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,null,39795,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,UIViewController,null,1515,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,CollectionQuiz,null,33358,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,UIViewController,null,54800,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,null,131321,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,CollectionQuiz,Player,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,null,1456,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,null,2659,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,UIViewController,RCTModalHostViewController,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTabPlayer,null,49022,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,StreakResult,PushHistory,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,UIViewController,RCTModalHostViewController,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PushHistory,Player,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,StreakResult,StreakResult,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,UIViewController,UIViewController,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,CollectionQuiz,Player,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,path_tab_step_click,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,null,1221,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,null,3871,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,null,15031,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,PushHistory,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,RCTModalHostViewController,ReviewTab,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,null,2834,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTabPlayer,PathTab,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,UIViewController,UIViewController,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,splash_visit,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Splash,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PushHistory,null,11004,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PushHistory,null,4614,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,Player,null,2258,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PushHistory,Player,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,PathTabPlayer,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,CollectionQuiz,Player,null,null,null,2023-10-08
2023-09-29,20230929,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,UIViewController,RCTModalHostViewController,null,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,path_tab_step_click,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,SnackPlayer,null,null,CAKE_COUPON,PLUS,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,ReviewTab,null,1374,null,null,2023-10-08
2023-09-26,20230926,3tv6xAvjSiOBvn6Pi8LkGw,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1.70E+15,1.70E+15,97,PathTab,PathTabPlayer,null,null,null,2023-10-08
