auth_id,event_name,previous_screen_class,screen_class,event_timestamp_w_timezone,use_time_msec
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,PlusOnlyTab,1695213417445020,11247.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,SpeakCourse,1695213422829020,5384.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,SpeakCourse,SpeakLecturePlayer,1695213422829020,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,SpeakLecturePlayer,SpeakCourse,1695213481609030,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,SpeakLecturePlayer,1695213481609030,58779.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,SpeakCourse,Player,1695213481858030,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,Player,1695213506104000,24495.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Player,RCTModalHostViewController,1695213506105000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695213508730000,2626.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213508732000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213523943000,15212.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213545175000,19773.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,RCTModalHostViewController,1695213545176000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695213547132000,1956.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213547133010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213556624010,9492.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,RCTModalHostViewController,1695213556625010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695213558649010,2024.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213558651010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213624149020,65499.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,CurriculumDetail,1695213624149020,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,CurriculumDetail,RCTModalHostViewController,1695213624468020,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213624703020,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Player,1695213643695030,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213643695030,19545.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,Player,1695213667087000,23392.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,.,UIViewController,1695213672138000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,UIViewController,1695213672218000,.
3tv6xAvjSiOBvn6Pi8LkGw,splash_visit,.,Splash,1695213673077000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,Splash,1695213673077000,.
3tv6xAvjSiOBvn6Pi8LkGw,membership_user,.,Splash,1695213673078000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,Splash,HomeTab,1695213673117000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,HomeTab,RCTModalHostViewController,1695213673574000,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695213674636000,1756.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213674637000,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,ReviewTab,1695213675262010,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,ReviewTab,RCTModalHostViewController,1695213675627010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695213679450010,4813.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213679451010,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213681213010,1762.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,MyTab,1695213681213020,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,StreakResult,1695213681992020,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,StreakResult,MyTab,1695213694747020,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,StreakResult,1695213694748020,13534.0
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTab,1695213696357020,1609.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,MyTabSetting,1695213696357020,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTabSetting,MyTab,1695213699564020,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTabSetting,1695213699565020,3207.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,MyTab,PlusOnlyTab,1695213700652030,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,MyTab,1695213700652030,1087.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PlusOnlyTab,PathTab,1695213703428030,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,PlusOnlyTab,1695213703429030,2776.0
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_visit,.,PathTab,1695213703560030,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,SnackPlayer,1695213707297030,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,PathTab,1695213707298030,3869.0
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_step_click,.,SnackPlayer,1695213707301030,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,SnackPlayer,PathTab,1695213724531040,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,SnackPlayer,1695213724531040,17233.0
3tv6xAvjSiOBvn6Pi8LkGw,path_tab_visit,.,PathTab,1695213724536040,.
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,PathTab,RCTModalHostViewController,1695213724561040,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,RCTModalHostViewController,1695213726067040,1535.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,RCTModalHostViewController,UIViewController,1695213726069040,.
3tv6xAvjSiOBvn6Pi8LkGw,user_engagement,.,UIViewController,1695213731208040,5141.0
3tv6xAvjSiOBvn6Pi8LkGw,screen_view,UIViewController,RCTModalHostViewController,1695213731209040,.
